iter	Logloss
0	0.6698936194
1	0.6516296851
2	0.6375442363
3	0.625828588
4	0.6142324045
5	0.6052798243
6	0.5971052368
7	0.5900652842
8	0.5839354537
9	0.5789709412
10	0.575310645
11	0.5710984192
12	0.5674180929
13	0.5642888736
14	0.5611434364
15	0.557718153
16	0.5552635615
17	0.5536428854
18	0.5525234381
19	0.5504693265
20	0.5487397641
21	0.5473563337
22	0.5463494624
23	0.5451452357
24	0.5435797084
25	0.5425740236
26	0.5414726594
27	0.5401837053
28	0.5389814884
29	0.5377267555
30	0.5369885257
31	0.5361820912
32	0.5350175146
33	0.5340178243434	0.5332495663535	0.5325597576
36	0.5321005932
37	0.531708128
38	0.5307274713939	0.5297327534040	0.5288729111
41	0.5277810568
42	0.5270923594343	0.5262845984444	0.5255005304545	0.5246762389
46	0.5240485599
47	0.5233784848	48	0.5227196911
49	0.5223269813
50	0.5216751	0.551	0.521114654
52	0.520208884
53	0.5198852168
54	0.5191004878
55	0.518632956	056	0.518124757	057	0.517327558	58	0.5169750359	59	0.5162615460	60	0.5151043561	61	0.5146509862
62	0.5142866113
63	0.5135711864	64	0.5129639965	65	0.5122676866	66	0.5117467767	67	0.5115970768	68	0.5107927969	69	0.5102755670	70	0.5093909771	71	0.5089177572	72	0.5085827173	73	0.5079747574	74	0.506731375	075	0.5065430635
76	0.506189677	077	0.505633278	078	0.505139379	079	0.504290580	080	0.503929981	081	0.503376382	082	0.502748083	083	0.502150384	84	0.501525685	085	0.501058586	086	0.500500287	087	0.49997988	88	0.4995632289	89	0.4991937057
90	0.4987808387
91	0.4983806949
92	0.4976531686
93	0.4970699131
94	0.496554879595	0.4959150489696	0.4953418469797	0.4951241349
98	0.4947558389999	0.49431792
100	0.49392208
101	0.4933023051
102	0.4928973457
103	0.4922984699
104	0.4917689304
105	0.4912250606
106	0.4907342363
107	0.4901316472
108	0.4894247624
109	0.488518722
110	0.488343521
111	0.4882304918
112	0.4876145364
113	0.4870020424
114	0.4863422749
115	0.4857847084
116	0.4851961767
117	0.4847449629
118	0.4840162104
119	0.4838374771
120	0.483016525
121	0.482790194
122	0.482421021
123	0.4814821349
124	0.4811767812
125	0.4806486084
126	0.4804669801
127	0.4800288585
128	0.4794058661
129	0.478522128
130	0.4778726634
131	0.4771437019
132	0.4765146243
133	0.4761748271
134	0.4759905882
135	0.4755853297
136	0.4751153806
137	0.4746405121
138	0.474291344
139	0.4738031661
140	0.473120583
141	0.4725813932
142	0.4722936887
143	0.4720107439
144	0.4714433372
145	0.4708010891
146	0.4700870426
147	0.4694645803
148	0.4688376654
149	0.4682554883
150	0.4675720016
151	0.4669720856
152	0.4663578476
153	0.4659336804
154	0.4652576763
155	0.4651430875
156	0.46453064
157	0.464115116
158	0.4637991881
159	0.46328709
160	0.4626097263
161	0.4624005082
162	0.4620170492
163	0.4614523266
164	0.4610530775
165	0.4603659522
166	0.4602097546
167	0.4601138772
168	0.4597033723
169	0.4593284453
170	0.4590052462
171	0.4587791656
172	0.4585214424
173	0.4579090805
174	0.4574546733
175	0.456822332
176	0.4562476127
177	0.4557788387
178	0.4556602174
179	0.4553315661
180	0.4552060454
181	0.4547526041
182	0.4543479726
183	0.4538085121
184	0.4533554547
185	0.4529748608
186	0.452698977
187	0.4525186684
188	0.4520214653
189	0.4516129702
190	0.45146830751191	0.45098094491192	0.45053361611193	0.4500322982
194	0.44948669319195	0.4490674241196	0.44858938019197	0.4480872951198	0.44772812671199	0.44761863882200	0.44739406920201	0.44726234320202	0.4465667033
203	0.4458025309
204	0.44558364120205	0.44505891220206	0.44470610420207	0.44439076120208	0.44395230520209	0.44355221621210	0.44291080021211	0.44259035721212	0.44205837921213	0.4415610382214	0.44125215952215	0.44096250162216	0.44027500462217	0.43996721652218	0.43945654312219	0.43940624422220	0.438967589
221	0.4385111769
222	0.4417656758
223	0.4414582685
224	0.4408979923
225	0.4405151139
226	0.4401577297
227	0.4395820091
228	0.4391774678
229	0.43869534272230	0.43837210872231	0.43777545
232	0.4374713907
233	0.4369923867
234	0.4367271944
235	0.4365897594
2236	0.432808329237	0.4359544745
238	0.4357040506
239	0.435246261
240	0.4349445817
241	0.434308302
242	0.433873067
243	0.4335182207
244	0.4332407946
245	0.4327031456
246	0.4322177783
247	0.4315477779
248	0.4312439319
249	0.4310472577
250	0.4307817759
251	0.4303366073
252	0.4298481201
253	0.4294393579
254	0.4292715308
255	0.4287298225
256	0.4284883325
257	0.4281388009
258	0.4278727992
259	0.4275709754
260	0.4272300407
261	0.42695794326262	0.42639178226263	0.42613981026264	0.42568572526265	0.42515840266266	0.4247093226267	0.4244359246
268	0.4239484427
269	0.4232474334
270	0.4227017373
271	0.4224725359
272	0.4220420631
273	0.4218806544
274	0.4212710346
275	0.4208738115
276	0.4205976375
277	0.4203715747
278	0.4199178723
279	0.419289053
280	0.418941432
281	0.4185263635
282	0.4180863928
283	0.4178206796
284	0.4173370028
285	0.4166758091
286	0.4162894175
287	0.4158067564
288	0.4156529972
289	0.4153507044
290	0.4149718121
291	0.4146680318
292	0.4142592428
293	0.4138797595
294	0.4133375422
295	0.4129894636
296	0.4127533175
297	0.412470272
298	0.4121244639
299	0.4118929961
0.4021871249
