iter	Passed	Remaining
0	2	742
1	4	708
2	7	701
3	9	706
4	12	729
5	14	723
6	17	739
7	20	750
8	23	751
9	26	771
10	29	772
11	32	780
12	35	777
13	37	771
14	40	770
15	43	765
16	46	768
17	48	764
18	51	764
19	54	760
20	57	757
21	59	754
22	62	754
23	65	755
24	68	752
25	71	752
26	74	748
27	76	744
28	79	742
29	82	739
30	84	734
31	87	729
32	89	724
33	92	721
34	94	718
35	97	717
36	100	714
37	103	712
38	106	710
39	108	707
40	111	705
41	114	703
42	117	702
43	120	702
44	123	700
45	126	697
46	129	696
47	131	692
48	134	691
49	137	688
50	140	687
51	144	688
52	147	686
53	150	683
54	152	681
55	155	678
56	158	674
57	161	672
58	163	668
59	166	666
60	169	664
61	172	662
62	175	659
63	177	656
64	180	652
65	182	648
66	185	645
67	188	641
68	190	638
69	193	635
70	196	633
71	199	630
72	201	627
73	204	625
74	207	623
75	210	620
76	213	617
77	216	615
78	219	612
79	221	609
80	224	607
81	227	604
82	231	606
83	234	603
84	237	600
85	240	598
86	243	595
87	246	593
88	249	590
89	252	588
90	254	585
91	258	583
92	260	580
93	263	577
94	266	574
95	269	571
96	271	569
97	274	566
98	277	563
99	280	560
100	282	557
101	286	555
102	289	553
103	292	551
104	295	547
105	298	545
106	301	542
107	303	540
108	306	537
109	309	534
110	312	532
111	315	529
112	318	526
113	321	524
114	324	521
115	327	518
116	330	516
117	333	514
118	336	511
119	339	508
120	342	505
121	344	503
122	347	500
123	350	497
124	353	495
125	356	492
126	359	489
127	362	487
128	365	484
129	368	481
130	371	479
131	374	476
132	377	474
133	380	471
134	383	468
135	386	466
136	389	463
137	392	460
138	395	458
139	398	455
140	401	452
141	404	450
142	407	447
143	410	444
144	414	442
145	422	445
146	425	443
147	428	440
148	431	437
149	434	434
150	437	431
151	440	429
152	443	426
153	447	423
154	450	421
155	453	418
156	456	415
157	459	412
158	462	410
159	466	408
160	469	405
161	472	402
162	475	399
163	478	397
164	482	394
165	486	392
166	489	390
167	492	387
168	496	384
169	499	381
170	502	378
171	505	376
172	508	373
173	511	370
174	514	367
175	517	364
176	520	361
177	523	359
178	527	356
179	530	353
180	533	350
181	537	348
182	540	345
183	543	342
184	546	340
185	549	337
186	552	334
187	555	331
188	558	328
189	561	325
190	565	322
191	568	319
192	571	317
193	574	314
194	578	311
195	581	308
196	584	305
197	587	302
198	590	299
199	593	296
200	596	293
201	600	291
202	604	289
203	608	286
204	611	283
205	614	280
206	617	277
207	621	274
208	624	271
209	627	269
210	631	266
211	634	263
212	637	260
213	640	257
214	643	254
215	646	251
216	650	248
217	653	245
218	656	242
219	659	239
220	663	237
221	666	234
222	680	234
223	683	231
224	686	228
225	690	225
226	692	222
227	696	220
228	700	217
229	703	213
230	706	210
231	709	207
232	712	204
233	715	201
234	718	198
235	721	195
236	713	189
237	728	189
238	731	186
239	735	183
240	738	180
241	741	177
242	744	174
243	748	171
244	751	168
245	754	165
246	758	162
247	761	159
248	765	156
249	768	153
250	771	150
251	775	147
252	778	144
253	781	141
254	785	138
255	788	135
256	791	132
257	794	129
258	798	126
259	801	123
260	804	120
261	807	117
262	810	114
263	813	110
264	817	107
265	820	104
266	824	101
267	828	98
268	831	95
269	835	92
270	839	89
271	842	86
272	846	83
273	849	80
274	852	77
275	855	74
276	859	71
277	863	68
278	866	65
279	870	62
280	873	59
281	878	56
282	881	52
283	885	49
284	889	46
285	893	43
286	897	40
287	901	37
288	904	34
289	907	31
290	910	28
291	913	25
292	916	21
293	920	18
294	923	15
295	926	12
296	930	9
297	933	6
298	936	3
299	940	0
0

